epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,7139.7,1.10487,0.77655,0.00855,0.87258,0.85325,0.89725,0.64829,1.09065,0.56371,0.01018,0.000810688,0.000810688,0.000810688
73,7238.79,1.10387,0.75502,0.00827,0.90162,0.87919,0.92172,0.65951,1.08317,0.52656,0.01014,0.0008045,0.0008045,0.0008045
74,7337.87,1.09969,0.76755,0.00856,0.90769,0.85447,0.91668,0.6559,1.07246,0.56009,0.01014,0.000798313,0.000798313,0.000798313
75,7436.95,1.094,0.77656,0.0083,0.89456,0.85134,0.91624,0.66296,1.06408,0.56429,0.00993,0.000792125,0.000792125,0.000792125
76,7536.32,1.06678,0.73737,0.00789,0.90009,0.86122,0.91657,0.66204,1.06475,0.55193,0.01014,0.000785938,0.000785938,0.000785938
77,7635.52,1.0687,0.75857,0.00773,0.88809,0.86826,0.91249,0.66495,1.05406,0.52995,0.00978,0.00077975,0.00077975,0.00077975
78,7734.55,1.05359,0.71559,0.00787,0.89264,0.85443,0.91159,0.67079,1.03908,0.54582,0.00974,0.000773563,0.000773563,0.000773563
79,7834.13,1.05282,0.72632,0.00798,0.88376,0.86203,0.91891,0.66866,1.03411,0.52317,0.00959,0.000767375,0.000767375,0.000767375
80,7932.94,1.06787,0.75353,0.00807,0.90868,0.85679,0.91226,0.6651,1.03809,0.52197,0.00972,0.000761188,0.000761188,0.000761188
81,8032.18,1.04039,0.70083,0.0078,0.91693,0.85496,0.9201,0.66738,1.03844,0.53336,0.00972,0.000755,0.000755,0.000755
82,8131.59,1.03879,0.7093,0.00766,0.90968,0.86488,0.92255,0.68202,1.0328,0.51212,0.00973,0.000748813,0.000748813,0.000748813
83,8231.36,1.0373,0.72539,0.00764,0.90069,0.85969,0.91773,0.67884,1.0208,0.51492,0.00948,0.000742625,0.000742625,0.000742625
84,8330.48,1.03151,0.73434,0.00796,0.91193,0.86009,0.92233,0.68452,1.02162,0.50173,0.00956,0.000736438,0.000736438,0.000736438
85,8429.52,1.0108,0.70683,0.00761,0.91006,0.86791,0.91926,0.67745,1.01113,0.49665,0.0094,0.00073025,0.00073025,0.00073025
86,8528.21,1.01678,0.68104,0.0076,0.90703,0.86316,0.92172,0.68517,1.00874,0.50189,0.00946,0.000724062,0.000724062,0.000724062
87,8627.34,1.01374,0.6718,0.0074,0.9075,0.86142,0.91763,0.68913,1.01107,0.49765,0.00934,0.000717875,0.000717875,0.000717875
88,8725.91,0.99578,0.66939,0.00769,0.9054,0.86472,0.92525,0.68847,1.00662,0.51301,0.00937,0.000711687,0.000711687,0.000711687
89,8824.79,1.01064,0.66031,0.00752,0.91422,0.86534,0.93066,0.696,0.98293,0.49626,0.00917,0.0007055,0.0007055,0.0007055
90,8923.86,1.00518,0.67185,0.00766,0.92633,0.86199,0.93458,0.6958,0.99143,0.48759,0.00921,0.000699312,0.000699312,0.000699312
91,9022.57,0.9724,0.6393,0.00728,0.90404,0.874,0.92546,0.69232,0.99154,0.4914,0.00922,0.000693125,0.000693125,0.000693125
